request_id,request_date,business_unit,requester,request_type,priority,deadline_date,completion_date,status,turnaround_hours
ADH-0001,2024-05-09,Client Services,CLI-Director,Exception Report,High,2024-05-10,2024-05-09,Completed,19
ADH-0002,2024-11-09,Closing,CLO-Director,Volume Tracker,Medium,2024-11-16,2024-11-12,Completed,73
ADH-0003,2024-01-15,Compliance,COM-Director,Exception Report,Medium,2024-01-21,2024-01-18,Completed,84
ADH-0004,2024-03-01,Underwriting,UND-VP,Volume Tracker,Medium,2024-03-05,2024-03-01,Completed,12
ADH-0005,2024-04-12,Operations,OPE-Lead,Volume Tracker,Medium,2024-04-15,2024-04-13,Completed,29
ADH-0006,2024-06-17,Underwriting,UND-Manager,Volume Tracker,Medium,2024-06-20,2024-06-19,Completed,70
ADH-0007,2024-02-24,Client Services,CLI-Lead,Custom Metric,Medium,2024-03-02,,Pending Info,
ADH-0008,2024-09-28,Underwriting,UND-Lead,Volume Tracker,Low,2024-10-11,2024-10-10,Completed,295
ADH-0009,2024-08-29,Compliance,COM-Director,Compliance Audit,High,2024-08-30,2024-08-29,Completed,22
ADH-0010,2024-01-21,Client Services,CLI-Lead,Performance Summary,High,2024-01-24,2024-01-23,Completed,64
ADH-0011,2024-01-29,Compliance,COM-Manager,Exception Report,High,2024-01-30,2024-01-29,Completed,17
ADH-0012,2024-06-29,Compliance,COM-Manager,Performance Summary,Medium,2024-07-03,2024-06-29,Completed,5
ADH-0013,2024-12-24,Underwriting,UND-Director,Performance Summary,Medium,2024-12-30,2024-12-28,Completed,101
ADH-0014,2024-08-31,Underwriting,UND-Director,Exception Report,High,2024-09-01,2024-08-31,Completed,6
ADH-0015,2024-01-13,Underwriting,UND-Director,Custom Metric,Medium,2024-01-19,,Pending Info,
ADH-0016,2024-09-07,Operations,OPE-VP,Volume Tracker,Low,2024-09-13,2024-09-11,Completed,108
ADH-0017,2024-05-31,Operations,OPE-VP,Trend Analysis,Medium,2024-06-04,2024-06-02,Completed,64
ADH-0018,2024-02-06,Underwriting,UND-Manager,Custom Metric,High,2024-02-07,2024-02-06,Completed,5
ADH-0019,2024-09-18,Closing,CLO-Manager,Compliance Audit,High,2024-09-21,2024-09-20,Completed,60
ADH-0020,2024-09-07,Operations,OPE-Lead,Exception Report,Low,2024-09-18,2024-09-13,Completed,147
ADH-0021,2024-02-14,Operations,OPE-VP,Trend Analysis,Low,2024-02-23,,Pending Info,
ADH-0022,2024-12-01,Operations,OPE-Lead,Volume Tracker,Medium,2024-12-06,2024-12-05,Completed,97
ADH-0023,2024-10-14,Client Services,CLI-Manager,Trend Analysis,Medium,2024-10-18,2024-10-17,Completed,91
ADH-0024,2024-01-26,Closing,CLO-Manager,Volume Tracker,High,2024-01-29,,In Progress,
