week_number,week_ending,business_unit,total_processed,total_completed,completion_rate,avg_cycle_time,escalations,client_contacts
1,2024-01-05,Underwriting,407,244,60.0,18.4,4,562
1,2024-01-05,Closing,460,387,84.1,21.0,21,112
1,2024-01-05,Client Services,648,526,81.2,23.3,5,118
1,2024-01-05,Compliance,407,271,66.6,16.9,4,200
1,2024-01-05,Operations,706,511,72.4,12.4,7,513
2,2024-01-12,Underwriting,555,427,76.9,20.8,11,210
2,2024-01-12,Closing,685,555,81.0,27.9,2,143
2,2024-01-12,Client Services,264,227,86.0,29.1,8,595
2,2024-01-12,Compliance,351,315,89.7,19.3,17,411
2,2024-01-12,Operations,701,656,93.6,16.5,2,482
3,2024-01-19,Underwriting,618,419,67.8,23.9,13,274
3,2024-01-19,Closing,407,372,91.4,25.8,20,417
3,2024-01-19,Client Services,522,460,88.1,24.2,5,560
3,2024-01-19,Compliance,551,500,90.7,18.1,7,127
3,2024-01-19,Operations,746,450,60.3,29.2,6,515
4,2024-01-26,Underwriting,652,549,84.2,18.4,21,541
4,2024-01-26,Closing,784,651,83.0,9.0,12,160
4,2024-01-26,Client Services,312,196,62.8,16.8,3,221
4,2024-01-26,Compliance,605,537,88.8,14.4,2,454
4,2024-01-26,Operations,768,467,60.8,8.5,7,177
5,2024-02-02,Underwriting,547,364,66.5,20.1,25,449
5,2024-02-02,Closing,448,272,60.7,20.8,11,577
5,2024-02-02,Client Services,723,531,73.4,26.4,9,454
5,2024-02-02,Compliance,465,369,79.4,21.8,21,221
5,2024-02-02,Operations,324,209,64.5,9.3,10,126
6,2024-02-09,Underwriting,482,338,70.1,10.0,19,164
6,2024-02-09,Closing,695,468,67.3,27.6,3,197
6,2024-02-09,Client Services,274,193,70.4,16.6,22,501
6,2024-02-09,Compliance,251,184,73.3,25.5,9,151
6,2024-02-09,Operations,579,443,76.5,24.8,11,483
7,2024-02-16,Underwriting,347,219,63.1,27.4,10,538
7,2024-02-16,Closing,301,235,78.1,21.4,12,591
7,2024-02-16,Client Services,329,215,65.3,16.3,21,322
7,2024-02-16,Compliance,631,516,81.8,24.4,24,257
7,2024-02-16,Operations,461,423,91.8,16.3,5,474
8,2024-02-23,Underwriting,603,528,87.6,21.9,12,508
8,2024-02-23,Closing,724,651,89.9,22.4,25,403
8,2024-02-23,Client Services,413,386,93.5,15.6,15,532
8,2024-02-23,Compliance,482,357,74.1,18.1,11,500
8,2024-02-23,Operations,254,214,84.3,25.0,14,131
9,2024-03-01,Underwriting,505,385,76.2,26.3,3,255
9,2024-03-01,Closing,603,534,88.6,9.3,2,244
9,2024-03-01,Client Services,614,475,77.4,29.8,18,155
9,2024-03-01,Compliance,383,264,68.9,8.9,23,150
9,2024-03-01,Operations,384,255,66.4,22.2,21,166
10,2024-03-08,Underwriting,501,372,74.3,8.3,10,571
10,2024-03-08,Closing,755,549,72.7,8.5,19,453
10,2024-03-08,Client Services,312,211,67.6,24.4,16,555
10,2024-03-08,Compliance,514,375,73.0,21.9,2,535
10,2024-03-08,Operations,503,472,93.8,9.1,22,102
11,2024-03-15,Underwriting,787,657,83.5,15.6,19,392
11,2024-03-15,Closing,505,379,75.0,8.2,15,176
11,2024-03-15,Client Services,448,412,92.0,9.0,4,572
11,2024-03-15,Compliance,221,165,74.7,23.5,17,314
11,2024-03-15,Operations,591,379,64.1,26.9,5,115
12,2024-03-22,Underwriting,286,206,72.0,18.5,2,345
12,2024-03-22,Closing,351,274,78.1,8.4,10,386
12,2024-03-22,Client Services,307,232,75.6,27.7,12,485
12,2024-03-22,Compliance,356,295,82.9,13.5,9,454
12,2024-03-22,Operations,725,688,94.9,8.2,10,379
13,2024-03-29,Underwriting,538,413,76.8,24.7,12,253
13,2024-03-29,Closing,328,289,88.1,25.2,16,541
13,2024-03-29,Client Services,546,486,89.0,9.0,13,144
13,2024-03-29,Compliance,227,181,79.7,24.7,17,566
13,2024-03-29,Operations,283,226,79.9,10.4,13,324
14,2024-04-05,Underwriting,569,436,76.6,24.6,11,581
14,2024-04-05,Closing,724,645,89.1,13.5,24,269
14,2024-04-05,Client Services,389,282,72.5,23.7,15,250
14,2024-04-05,Compliance,219,204,93.2,19.5,8,187
14,2024-04-05,Operations,619,519,83.8,12.9,11,417
15,2024-04-12,Underwriting,544,464,85.3,18.8,9,315
15,2024-04-12,Closing,597,525,87.9,28.5,19,505
15,2024-04-12,Client Services,703,438,62.3,28.6,20,154
15,2024-04-12,Compliance,508,402,79.1,20.8,11,228
15,2024-04-12,Operations,447,376,84.1,10.4,7,523
16,2024-04-19,Underwriting,432,270,62.5,15.5,12,184
16,2024-04-19,Closing,206,176,85.4,24.6,19,162
16,2024-04-19,Client Services,429,390,90.9,28.5,15,301
16,2024-04-19,Compliance,598,436,72.9,23.8,15,553
16,2024-04-19,Operations,567,517,91.2,11.2,19,292
17,2024-04-26,Underwriting,778,667,85.7,26.4,7,497
17,2024-04-26,Closing,688,559,81.2,23.0,18,498
17,2024-04-26,Client Services,794,647,81.5,12.3,15,355
17,2024-04-26,Compliance,344,274,79.7,27.6,14,351
17,2024-04-26,Operations,305,216,70.8,12.4,19,243
18,2024-05-03,Underwriting,459,357,77.8,14.1,18,207
18,2024-05-03,Closing,780,507,65.0,20.6,16,448
18,2024-05-03,Client Services,450,387,86.0,16.9,5,207
18,2024-05-03,Compliance,227,160,70.5,25.1,16,465
18,2024-05-03,Operations,736,572,77.7,26.0,19,483
19,2024-05-10,Underwriting,252,231,91.7,11.4,25,191
19,2024-05-10,Closing,582,387,66.5,23.3,4,146
19,2024-05-10,Client Services,409,328,80.2,18.4,16,235
19,2024-05-10,Compliance,603,559,92.7,14.4,22,116
19,2024-05-10,Operations,312,240,76.9,13.1,24,573
20,2024-05-17,Underwriting,283,207,73.1,20.9,24,392
20,2024-05-17,Closing,725,480,66.2,14.6,2,544
20,2024-05-17,Client Services,779,670,86.0,10.8,25,154
20,2024-05-17,Compliance,333,246,73.9,20.7,2,278
20,2024-05-17,Operations,291,229,78.7,26.7,18,234
21,2024-05-24,Underwriting,623,441,70.8,16.4,6,169
21,2024-05-24,Closing,456,404,88.6,23.1,12,248
21,2024-05-24,Client Services,421,258,61.3,17.3,20,290
21,2024-05-24,Compliance,526,346,65.8,19.5,24,549
21,2024-05-24,Operations,622,400,64.3,24.6,5,123
22,2024-05-31,Underwriting,712,529,74.3,25.2,20,384
22,2024-05-31,Closing,508,337,66.3,14.5,15,227
22,2024-05-31,Client Services,246,220,89.4,29.4,22,253
22,2024-05-31,Compliance,702,436,62.1,20.4,18,327
22,2024-05-31,Operations,565,340,60.2,18.2,6,507
23,2024-06-07,Underwriting,613,480,78.3,29.9,6,407
23,2024-06-07,Closing,446,356,79.8,23.8,19,402
23,2024-06-07,Client Services,448,341,76.1,14.5,2,398
23,2024-06-07,Compliance,595,488,82.0,21.2,22,511
23,2024-06-07,Operations,542,336,62.0,17.5,18,538
24,2024-06-14,Underwriting,719,654,91.0,18.5,5,471
24,2024-06-14,Closing,515,354,68.7,16.8,8,312
24,2024-06-14,Client Services,778,586,75.3,17.3,3,526
24,2024-06-14,Compliance,455,396,87.0,23.0,24,110
24,2024-06-14,Operations,722,442,61.2,19.0,7,419
25,2024-06-21,Underwriting,255,190,74.5,9.9,7,550
25,2024-06-21,Closing,731,539,73.7,27.3,3,347
25,2024-06-21,Client Services,789,635,80.5,28.7,15,244
25,2024-06-21,Compliance,501,367,73.3,29.2,6,484
25,2024-06-21,Operations,319,302,94.7,13.2,14,195
26,2024-06-28,Underwriting,247,178,72.1,22.7,4,539
26,2024-06-28,Closing,570,399,70.0,18.5,25,254
26,2024-06-28,Client Services,786,572,72.8,12.4,5,374
26,2024-06-28,Compliance,407,307,75.4,8.7,2,360
26,2024-06-28,Operations,751,607,80.8,28.2,7,304
27,2024-07-05,Underwriting,712,552,77.5,29.2,22,151
27,2024-07-05,Closing,391,334,85.4,26.9,17,513
27,2024-07-05,Client Services,246,217,88.2,22.6,18,421
27,2024-07-05,Compliance,748,547,73.1,10.1,4,252
27,2024-07-05,Operations,498,450,90.4,19.0,19,258
28,2024-07-12,Underwriting,669,490,73.2,20.2,2,530
28,2024-07-12,Closing,789,730,92.5,28.5,13,531
28,2024-07-12,Client Services,736,571,77.6,17.5,13,558
28,2024-07-12,Compliance,375,274,73.1,14.4,12,108
28,2024-07-12,Operations,328,228,69.5,15.9,18,272
29,2024-07-19,Underwriting,337,236,70.0,29.4,14,135
29,2024-07-19,Closing,594,561,94.4,13.3,9,335
29,2024-07-19,Client Services,339,242,71.4,10.5,10,382
29,2024-07-19,Compliance,539,381,70.7,27.0,8,511
29,2024-07-19,Operations,319,242,75.9,19.5,2,496
30,2024-07-26,Underwriting,774,522,67.4,25.8,13,185
30,2024-07-26,Closing,283,176,62.2,21.6,23,380
30,2024-07-26,Client Services,346,218,63.0,12.6,11,196
30,2024-07-26,Compliance,600,452,75.3,14.5,23,562
30,2024-07-26,Operations,684,439,64.2,14.0,25,106
31,2024-08-02,Underwriting,234,206,88.0,10.8,2,459
31,2024-08-02,Closing,709,535,75.5,19.7,4,493
31,2024-08-02,Client Services,560,365,65.2,12.1,4,399
31,2024-08-02,Compliance,248,161,64.9,18.3,10,324
31,2024-08-02,Operations,423,288,68.1,24.9,6,261
32,2024-08-09,Underwriting,652,395,60.6,15.0,10,451
32,2024-08-09,Closing,585,457,78.1,19.5,5,483
32,2024-08-09,Client Services,619,512,82.7,16.5,20,360
32,2024-08-09,Compliance,429,405,94.4,22.3,3,217
32,2024-08-09,Operations,624,408,65.4,16.4,24,323
33,2024-08-16,Underwriting,230,175,76.1,28.0,11,139
33,2024-08-16,Closing,499,407,81.6,11.3,19,178
33,2024-08-16,Client Services,696,622,89.4,25.8,15,475
33,2024-08-16,Compliance,387,237,61.2,26.6,18,190
33,2024-08-16,Operations,562,415,73.8,25.7,11,457
34,2024-08-23,Underwriting,389,288,74.0,9.6,24,212
34,2024-08-23,Closing,214,184,86.0,29.9,8,167
34,2024-08-23,Client Services,467,297,63.6,13.0,25,131
34,2024-08-23,Compliance,737,607,82.4,26.5,5,504
34,2024-08-23,Operations,634,563,88.8,19.6,22,429
35,2024-08-30,Underwriting,202,138,68.3,8.6,14,353
35,2024-08-30,Closing,353,226,64.0,27.8,22,117
35,2024-08-30,Client Services,658,485,73.7,12.4,13,234
35,2024-08-30,Compliance,667,547,82.0,18.8,10,253
35,2024-08-30,Operations,502,447,89.0,23.6,8,269
36,2024-09-06,Underwriting,268,216,80.6,23.9,2,514
36,2024-09-06,Closing,507,424,83.6,16.7,13,375
36,2024-09-06,Client Services,414,370,89.4,24.3,3,337
36,2024-09-06,Compliance,714,453,63.4,26.1,6,292
36,2024-09-06,Operations,327,290,88.7,24.8,24,297
37,2024-09-13,Underwriting,557,444,79.7,24.9,5,323
37,2024-09-13,Closing,408,311,76.2,18.6,11,514
37,2024-09-13,Client Services,517,383,74.1,22.6,23,242
37,2024-09-13,Compliance,453,387,85.4,27.1,9,406
37,2024-09-13,Operations,793,580,73.1,22.0,21,475
38,2024-09-20,Underwriting,683,644,94.3,26.3,4,486
38,2024-09-20,Closing,337,226,67.1,9.6,25,202
38,2024-09-20,Client Services,289,263,91.0,25.3,16,290
38,2024-09-20,Compliance,651,462,71.0,10.9,7,411
38,2024-09-20,Operations,614,379,61.7,11.6,9,269
39,2024-09-27,Underwriting,743,688,92.6,19.5,10,163
39,2024-09-27,Closing,567,352,62.1,24.5,24,233
39,2024-09-27,Client Services,669,443,66.2,25.3,16,221
39,2024-09-27,Compliance,400,370,92.5,28.4,21,216
39,2024-09-27,Operations,491,353,71.9,29.7,5,158
40,2024-10-04,Underwriting,593,486,82.0,17.2,9,421
40,2024-10-04,Closing,483,449,93.0,23.2,21,112
40,2024-10-04,Client Services,259,200,77.2,10.3,3,582
40,2024-10-04,Compliance,559,350,62.6,25.8,8,419
40,2024-10-04,Operations,232,142,61.2,19.7,20,586
41,2024-10-11,Underwriting,374,355,94.9,12.5,25,374
41,2024-10-11,Closing,424,366,86.3,27.7,14,437
41,2024-10-11,Client Services,601,533,88.7,23.8,3,329
41,2024-10-11,Compliance,559,458,81.9,12.7,2,147
41,2024-10-11,Operations,565,436,77.2,13.5,21,277
42,2024-10-18,Underwriting,466,283,60.7,8.3,24,314
42,2024-10-18,Closing,607,401,66.1,17.4,21,323
42,2024-10-18,Client Services,353,320,90.7,11.4,21,372
42,2024-10-18,Compliance,525,392,74.7,13.6,8,308
42,2024-10-18,Operations,757,617,81.5,11.1,9,473
43,2024-10-25,Underwriting,483,390,80.7,8.3,20,156
43,2024-10-25,Closing,210,197,93.8,24.4,14,232
43,2024-10-25,Client Services,359,281,78.3,8.8,16,221
43,2024-10-25,Compliance,222,134,60.4,11.6,3,530
43,2024-10-25,Operations,557,496,89.0,13.8,22,278
44,2024-11-01,Underwriting,298,240,80.5,21.3,12,440
44,2024-11-01,Closing,781,562,72.0,8.1,25,459
44,2024-11-01,Client Services,581,533,91.7,22.6,15,600
44,2024-11-01,Compliance,360,327,90.8,11.3,19,135
44,2024-11-01,Operations,650,555,85.4,19.1,10,265
45,2024-11-08,Underwriting,447,337,75.4,15.3,5,125
45,2024-11-08,Closing,798,617,77.3,8.5,15,294
45,2024-11-08,Client Services,362,246,68.0,12.4,20,439
45,2024-11-08,Compliance,422,311,73.7,23.8,11,596
45,2024-11-08,Operations,789,513,65.0,21.7,4,203
46,2024-11-15,Underwriting,737,470,63.8,22.6,5,592
46,2024-11-15,Closing,685,431,62.9,22.9,7,583
46,2024-11-15,Client Services,791,485,61.3,8.6,3,213
46,2024-11-15,Compliance,219,199,90.9,27.2,25,561
46,2024-11-15,Operations,478,396,82.8,25.5,22,175
47,2024-11-22,Underwriting,452,314,69.5,18.6,3,161
47,2024-11-22,Closing,715,497,69.5,15.0,3,478
47,2024-11-22,Client Services,760,571,75.1,15.5,18,353
47,2024-11-22,Compliance,256,199,77.7,15.1,16,567
47,2024-11-22,Operations,426,400,93.9,8.3,14,362
48,2024-11-29,Underwriting,241,213,88.4,18.0,10,322
48,2024-11-29,Closing,642,494,76.9,15.0,12,296
48,2024-11-29,Client Services,547,451,82.4,29.6,21,462
48,2024-11-29,Compliance,362,296,81.8,14.6,17,192
48,2024-11-29,Operations,508,374,73.6,16.3,3,301
49,2024-12-06,Underwriting,766,725,94.6,18.2,8,141
49,2024-12-06,Closing,236,164,69.5,24.5,7,420
49,2024-12-06,Client Services,461,310,67.2,21.0,2,187
49,2024-12-06,Compliance,513,451,87.9,28.5,22,247
49,2024-12-06,Operations,468,435,92.9,15.1,4,468
50,2024-12-13,Underwriting,461,401,87.0,16.6,24,185
50,2024-12-13,Closing,590,386,65.4,20.3,24,577
50,2024-12-13,Client Services,280,173,61.8,22.4,14,116
50,2024-12-13,Compliance,369,271,73.4,20.6,14,517
50,2024-12-13,Operations,616,521,84.6,25.9,3,313
51,2024-12-20,Underwriting,577,527,91.3,26.7,22,357
51,2024-12-20,Closing,374,288,77.0,26.6,17,352
51,2024-12-20,Client Services,624,457,73.2,18.6,22,394
51,2024-12-20,Compliance,538,363,67.5,8.8,20,122
51,2024-12-20,Operations,219,187,85.4,20.4,16,352
52,2024-12-27,Underwriting,508,321,63.2,20.7,13,459
52,2024-12-27,Closing,392,372,94.9,14.1,8,371
52,2024-12-27,Client Services,201,158,78.6,27.2,22,547
52,2024-12-27,Compliance,587,407,69.3,24.5,14,132
52,2024-12-27,Operations,385,321,83.4,20.2,6,500
